,measure,inh,path,value
12,nrtracks,PAR4-/-,200430_IVMTR62_Inj1_par4--_exp3,18.220340243562333
13,nrtracks,PAR4-/-,200430_IVMTR62_Inj6_par4--_exp3,14.347690284399144
19,no outlier,PAR4-/-,200422_IVMTR57_Inj2_par4--_exp3,39.74735055447932
20,no outlier,PAR4-/-,200430_IVMTR61_Inj2_par4--_exp3,37.35939221057983
